round,num_users,frac,local_ep,local_bs,bs,lr,momentum,warmup_epoch,model,ks,in_ch,dataset,nclass,nsample_pc,noniid,pruning_percent,pruning_target,dist_thresh_fc,acc_thresh,seed,algorithm,avg_final_tacc,personalized_parameters_percentage,corr_label_network_similarity
20,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,70.95,"[0.0, 0.0016614814477124585, 0.0024927643209723726, 0.0013044463040957246, 0.0013675885246517217]",0.06325759536609606,2022-07-23
40,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,69.45,"[0.0, 0.00035044517441235317, 0.0007417656153776679, 0.0001864321404127409, 0.0002570800268975761]",0.05745794569645866,2022-07-23
0,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,61.55,"[0.0, 0.0, 0.0, 0.0, 0.0]",-0.05317657161468245,2022-07-23
0,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,17.2125,"[0.0, 0.0, 0.0, 0.0, 0.0]",-0.01657247309744951,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,50.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,68.78125,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,69.09375,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
50,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,74.62187,"[0.004785834859587173, 0.007740957452625014, 0.01068897907398246, 0.006127657123360219, 0.0035410667954069363]",0.002867847170420295,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,68.875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
50,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,54.625,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,62.5,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,58.46875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,67.875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-23
